origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
France,FR,Italy,IT,rail,crate,chemical (industrial solvent),382200,1000,18000,yes,ADR/IMDG compliance; hazardous materials declarations,no,,UN-approved packaging; segregation; spill containment
South Africa,ZA,Netherlands,NL,sea,pallet,fresh fruit/vegetables,80810,1000,21000,no,,no,,Refrigerated pallets; temperature monitoring; insulated containers
India,IN,United States,US,air,box,lithium-ion battery,850760,5,200,yes,IATA DG declaration; lithium cell/battery restrictions; operator permit,no,,"UN38.3 test, flame/impact/shock protection, tamper-evident seals"
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,4000,25000,no,,no,,Temperature-controlled shipping if units exceed standard tolerance
Brazil,BR,Canada,CA,multimodal,box,pharmaceutical (prescription),300490,30,15000,yes,"Pharmacy licenses, import permits, cold chain integrity",no,,"Cold-chain compliant packaging, data loggers, tamper-evident seals"
Japan,JP,Australia,AU,air,envelope,cosmetics,330499,2,500,no,,no,,"Tamper-evident seal, product integrity labels, fragrance disclosure"
United Kingdom,GB,India,IN,rail,pallet,live animal,10619,1000,18000,yes,Veterinary certificate; import/export permits; quarantine if applicable,yes,Biosecurity risk; animal welfare considerations,Containment crates; veterinary records; original health certificates
France,FR,Spain,ES,road,box,fresh fruit/vegetables,80810,25,12000,no,,no,,Ventilated packaging; perishable goods label; temperature monitoring
United States,US,Mexico,MX,courier,envelope,cosmetics,330499,2,300,no,,no,,Sealed plastic pouch; batch/lot numbers; tamper-evident seals
South Korea,KR,Japan,JP,sea,box,electronic,851712,1500,22000,yes,IATA/IMDG compliance; hazardous classification for certain units,no,,Hazard communication; cushioning; moisture barrier
Singapore,SG,United Kingdom,GB,air,box,toys,950300,23,450,no,,no,,Safety certification; age-appropriate labeling; lead-free materials
Netherlands,NL,France,FR,rail,crate,chemical (industrial solvent),382200,5000,18000,yes,Hazmat documentation; SDS; gas-free testing; packaging approval,no,,Hazmat pack with UN packaging; internal segregation
Canada,CA,United States,US,road,box,pharmaceutical (prescription),300490,32,15000,yes,Pharmacy licensing; cross-border import permits; controlled substances controls,no,,Temperature-controlled unit; traceability; secure handling
Australia,AU,New Zealand,NZ,air,box,fresh fruit/vegetables,80810,23,800,no,,no,,Refrigerated container; humidity control; fast transit
Italy,IT,Spain,ES,courier,envelope,pharmaceutical (prescription),300490,2,250,yes,Prescription validation; controlled substance controls; export/import permits,no,,Tamper-evident seal; cold chain validation; signing for receipt
Spain,ES,Netherlands,NL,multimodal,box,electronic (consumer),851712,25,10000,no,,no,,Secure anti-tamper packaging; CS/QA documentation
South Africa,ZA,United Kingdom,GB,sea,crate,live animal,10619,1200,21000,yes,Quarantine and veterinary inspection; import licenses,yes,Biosecurity risk; export controls on wildlife,Live animal containment; temperature control; legal documentation
Saudi Arabia,SA,United States,US,road,box,chemical (industrial solvent),382200,40,12000,yes,Hazmat; SDS; permit for cross-border transfers,no,,UN-certified packaging; secondary containment; labeling
United Arab Emirates,AE,India,IN,courier,envelope,cosmetics,330499,2,400,no,,no,,Batch/lot traceability; tamper-evident seals; cosmetic safety packaging
Germany,DE,Canada,CA,rail,crate,electronic (consumer),851712,3000,23000,yes,"Restricted DG classifications; permit, declaration; proper segregation",no,,Fumigation certificate; shock-absorbent dunnage; EMI shielding
Mexico,MX,Singapore,SG,air,box,liquids (pharmaceutical solvents),382200,25,600,yes,DG declaration; packaging approved; shipper/receiver notification,no,,Secondary containment; temperature control; spill kits
Indonesia,ID,Japan,JP,sea,crate,live animal,10619,800,18000,yes,Quarantine; veterinary certification; animal welfare checks,yes,Biosecurity risk; wildlife protection,Secure transport container; health certificates
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; lithium batteries prohibited in passenger aircraft; UN3379/UN3480 classifications apply,no,,UN-certified packaging; strong outer box; temperature monitoring not required for batteries under 20°C
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,25000,no,,no,,Tamper-evident seals; moisture control; label per IMDG where applicable
Brazil,BR,United Kingdom,GB,air,box,pharmaceutical (prescription),300490,23,400,yes,"Export license, health diplomacy approval, pharmaceutical certification",no,,IATA DG medical transport protocol; temperature control 2-8C if required
Canada,CA,Japan,JP,courier,envelope,pharmaceutical (prescription),300490,2,40,yes,Prescription verification; digital certificate may be required,no,,Tamper-evident seal; cold chain not necessary for most prescriptions
Germany,DE,France,FR,rail,crate,live animal,10619,500,20000,yes,Veterinary certificate; import permit; animal health certificate,no,,"Secure, escape-proof crate; heat and ventilation controls"
Australia,AU,Netherlands,NL,sea,box,fresh fruit/vegetables,80810,23,18000,no,,no,,Temperature-controlled container if required; humidity control; venting allowed
United States,US,Canada,CA,road,box,cosmetics,330499,23,15000,no,,no,,UN-certified inner packaging; tamper-evident seals; cosmetic labeling per destination
Japan,JP,South Korea,KR,air,envelope,cosmetics,330499,2,60,no,,no,,Secure seal; avoid leakage; keep within liquid limits if applicable
India,IN,United Arab Emirates,AE,multimodal,case,electronic (consumer),851712,32,26000,yes,IATA DG declaration for lithium batteries; UAE import controls; dual-use considerations,no,,Temperature monitoring required for some devices; UN packaging for DG goods
China,CN,United States,US,courier,envelope,live animal,10619,2,100,yes,Carnivore/pet import restrictions; veterinary certificate,no,,"Carrier-approved transport; secure, escape-proof containment"
Mexico,MX,Spain,ES,sea,pallet,chemical (industrial solvent),382420,1000,20000,yes,Hazmat considered; IMDG/IATA; special handling permitted only with license,no,,Leak-proof; secondary containment; hazmat labels; temperature control as needed
South Korea,KR,United States,US,rail,crate,pharmaceutical (prescription),300490,500,18000,yes,Phytosanitary and health authority checks; import license often required,no,,Chain of custody; temperature control; pharma-grade packaging
France,FR,Italy,IT,road,box,fresh fruit/vegetables,80810,23,12000,no,,no,,Ventilated truck; temperature management varies by produce; avoid delays at borders
Netherlands,NL,Spain,ES,sea,crate,electronic (consumer),851712,5000,25000,no,,no,,Secure pallets; moisture protection; ESD-safe packaging when required
Italy,IT,United Kingdom,GB,air,box,toys,950300,23,300,no,,no,,Tamper-evident seals; child-safety packaging; per-flight weight limits
Spain,ES,Canada,CA,multimodal,case,electronics (consumer),851712,32,20000,no,,no,,Secure packaging; tracking; risk mitigations for cross-border transit
United Kingdom,GB,Singapore,SG,air,box,alcoholic beverages,220830,23,250,yes,Alcohol import licenses; duty/tax handling; age verification,no,,Tamper-evident seals; temperature control; secure bottle packaging
Saudi Arabia,SA,United States,US,courier,envelope,cosmetics,330499,2,60,no,,no,,Leakproof containers; sealing; compliant cosmetic labeling
Singapore,SG,Canada,CA,road,box,fresh fruit/vegetables,80810,23,9000,no,,no,,Cold chain available; insulated packaging; border inspections may require plant health certificates
Indonesia,ID,Brazil,BR,sea,crate,plant/seed,120991,5000,26000,yes,Phytosanitary certificate; germination tests; import permit,no,,"Sealed, sterile conditions; fumigation if required"
United Arab Emirates,AE,France,FR,rail,case,live animal,10619,1000,15000,yes,Animal import permit; veterinary health checks,no,,"Secure, escape-proof housing; temperature and humidity control"
South Africa,ZA,Mexico,MX,multimodal,box,used clothing,630900,20,10000,no,,no,,New or clean packaging; avoid hazardous materials; labeling per destination
Japan,JP,Australia,AU,air,envelope,pharmaceutical (prescription),300490,2,40,yes,Pharmacovigilance reporting; import permit required,no,,"Sealed, secure packaging; temperature control if drug requires cold chain"
India,IN,United States,US,air,box,lithium-ion battery,850760,23,200,yes,IATA DG declaration required; battery packing in UN-approved container; State-level permit for cross-border movement,no,,UN 38.3 testing; lithium battery packing in rigid outer packaging; proper labeling
China,CN,Germany,DE,air,box,pharmaceutical (prescription),300490,32,250,yes,Pharmacoepidemiology and import licensing; GMP certificate; cold-chain handling if required,no,,Temperature-controlled packaging if required; chain of custody logs
Brazil,BR,Japan,JP,sea,pallet,fresh fruit/vegetables,80810,1000,18000,no,,no,,Ventilated pallets; humidity control onboard; seals for cold chain
Germany,DE,Canada,CA,rail,crate,cosmetics,330499,500,17000,no,,no,,Tamper-evident seals; cosmetic product safety data sheet
Australia,AU,Singapore,SG,courier,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA DG declaration if hazardous; cross-border controlled substances compliance,no,,Sealed courier pouch; prescription validation; tamper-evident
United Kingdom,GB,France,FR,road,box,electronic goods,851712,23,15000,no,,no,,Fragile handling; anti-static bags; proper labeling
Japan,JP,South Korea,KR,multimodal,case,live animal,10619,100,12000,yes,Veterinary certificate; quarantine and import permit; biosecurity risk assessment,yes,Wildlife/prohibited species; strict import controls,Animal welfare compliant packaging; temperature control; breeder verification
United States,US,Mexico,MX,road,box,used clothing,630900,30,15000,no,,no,,Original packaging; avoid contamination; label with care instructions
India,IN,United Kingdom,GB,air,box,electronics (consumer),851712,23,180,no,,no,,ESD safe packaging; compliant with UK information security standards
China,CN,Singapore,SG,courier,envelope,cosmetics,330499,2,60,no,,no,,Tamper-evident seal; ingredient disclosure; regulatory labeling
Italy,IT,Spain,ES,sea,pallet,alcoholic beverages,220830,1000,25000,yes,Licensing for alcohol export; age verification; taxation documents,no,,Tamper-evident seals; dedicated temperature control; customs pre-declaration
Netherlands,NL,France,FR,rail,crate,chemical (industrial solvent),382200,6000,23000,yes,Hazmat classification; MSDS; transport of dangerous goods per IMDG/IATA,no,,Hazmat compliant packaging; segregation by hazard class; temperature as required
South Africa,ZA,United Arab Emirates,AE,air,box,pharmaceutical (prescription),300490,23,300,yes,Pharma import licensing; controlled substances notification; cold-chain integrity,no,,Cold-chain validated; data loggers; secure transit
Canada,CA,Australia,AU,sea,case,live animal,10619,200,18000,yes,Quarantine permit; veterinary health certificate; import permit,yes,Protected wildlife; prohibited species under CITES,Secure containment; temperature control; containment spill kits
Spain,ES,Netherlands,NL,road,box,toys (small),950300,23,10000,no,,no,,Safe choking-hazard labeling; age-appropriate packaging
France,FR,Sweden,SE,air,box,electronic goods,851712,23,200,no,,no,,ESD-safe packaging; compliance with EU RoHS
South Korea,KR,Italy,IT,multimodal,crate,lithium-ion battery,850760,5000,21000,yes,IATA/ICAO lithium battery handling; fire suppression; special handling for multimodal routes,no,,UN-approved lithium battery packaging; isolation from other goods; temperature control
 United Kingdom, GB,United States,US,courier,envelope,pharmaceutical (prescription),300490,2,90,yes,Prescription validation required; controlled substance reporting,no,,Pharma-grade packing; secure tamper-evident seal
Mexico,MX,China,CN,sea,pallet,chemical (industrial solvent),382200,1000,25000,yes,Hazmat shipping; MSDS; licensing for import/export of solvents,no,,Hazmat packaging; double containment; leak-proof seals
India,IN,United States,US,air,box,lithium-ion battery,850760,5,250,yes,IATA DG declaration; Battery restricted—packed with solid separators; LITHIUM ION BATTERY in compliance with UN 38.3 and ICAO/IATA packing instructions,no,,UN-certified packaging; inner STI/insulating material; venting protection; temperature monitoring for >2 kg per package
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,22000,no,,no,,Tamper-evident seals; moisture barrier; palletized with stretch wrap; 40’ container load barrier
Brazil,BR,Spain,ES,road,crate,live animal,10619,50,18000,yes,Health certificate; veterinary inspection; travel permit; CITES awareness for certain species,yes,Certain live wildlife restricted under biodiversity laws,Ventilated crate; bedding; temperature control; secure latches
Japan,JP,Canada,CA,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmacist/licensed distribution; controlled substance rules; C-PEC or EMEA equivalents,no,,Tamper-evident seal; prescription copy; temperature control 2-8C; cold-chain packaging
India,IN,United Kingdom,GB,courier,envelope,cosmetics,330499,1.5,80,no,,no,,Sealed cosmetics; batch numbers; manufacturer’s label; do not import restricted ingredients
United States,US,Japan,JP,air,box,fresh fruit/vegetables,80810,23,320,yes,Phytosanitary certificate required; cold-treated shipments as needed; pre-clearance with customs,no,,Temperature controlled 2-8C; insulated box; traceability label
Germany,DE,India,IN,rail,crate,toys (small),950300,30,24000,no,,no,,Secure packaging; child-safe materials; choking-hazard labeling where applicable
South Korea,KR,Australia,AU,multimodal,box,electronics (consumer),851712,25,18000,no,,no,,Anti-static packaging; ESD protection; moisture barrier; palletized for transfer stairs
Singapore,SG,Malaysia,MY,sea,crate,chemical (industrial solvent),382200,5000,24000,yes,Hazardous materials declaration; SDS; permit for flammable liquids; IMDG code compliance,no,,HAZMAT compliant inner packaging; vented crate; fire retardant lining
France,FR,Canada,CA,road,box,pharmaceutical (prescription),300490,20,1200,yes,Import license; controlled-substance declaration; good manufacturing practice (GMP),no,,Tamper-evident seals; chain of custody documentation; cold-chain packaging if required
Italy,IT,United States,US,courier,envelope,pharmacy (pharmaceutical),300490,2,100,yes,IATA/ICAO DG declaration; prescription validation; serialization if applicable,no,,Temperature control; sealed pharmacy label; traceable carrier handling
Spain,ES,United Arab Emirates,AE,air,box,cosmetics,330499,4,180,no,,no,,Tamper-evident seals; batch/production date labeling; aroma-determining ingredients disclosed
Netherlands,NL,New Zealand,NZ,air,box,fresh fruit/vegetables,80810,23,200,yes,Phytosanitary certificate; origin farm documentation; post-entry quarantine if required,no,,CIQ compliant packing; cold-chain 2-8C; traceability
Australia,AU,South Africa,ZA,sea,pallet,live animal,10619,500,15000,yes,Quarantine permit; veterinary inspection; import clearance; possible transport to licensed farms,yes,Endangered species or prohibited wildlife types,Secure ventilated pallet crates; temperature control; quarantine handling area
United Arab Emirates,AE,Mexico,MX,rail,box,chemical (industrial solvent),382200,40,12000,yes,Hazmat registration; per-country solvent import controls; IATA/IMDG compliance,no,,Fluorinated packaging; secondary containment; spill kit
Canada,CA,Italy,IT,road,case,counterfeit goods,0,60,9000,yes,Customs enforcement; trademark/copyright controls; anti-counterfeit screening,yes,Counterfeit goods prohibited,Secure case with anti-tamper seal; documentation for investigation
Mexico,MX,Spain,ES,courier,envelope,live animal,10619,2,60,yes,CITES compliance; veterinary certificate; border quarantine approval,no,,Small animal carrier; proper ventilation; nutrient/water supply as needed
United Kingdom,GB,South Korea,KR,multimodal,box,electronics (consumer),851712,30,18000,no,,no,,ESD safe packing; moisture barrier; labeling for cross-border shipment
Indonesia,ID,France,FR,sea,crate,chemical (industrial solvent),382200,4500,24000,yes,Hazmat declaration; IMDG class 3 or 8; solvent-specific permits,no,,Secondary containment; tamper-evident seals; temperature control as needed
United States,US,Netherlands,NL,rail,box,pharmaceutical (prescription),300490,25,1500,yes,Controlled substance tracking; GMP compliance; prescription validation,no,,Cold-chain packaging; secure transit; chain of custody documentation
India,IN,Saudi Arabia,SA,air,box,alcoholic beverages,220830,4,120,yes,Import license; excise tax payment; label requirements,yes,Certain duty-unpaid products restricted; cultural/religious considerations,Tamper-evident seal; pre-shipment inspection; temperature control if needed
France,FR,United States,US,courier,envelope,used clothing,630900,1.5,70,no,,no,,Labeled for resale; moisture protection; sealed in breathable polybags; avoid bulky packaging
Netherlands,NL,United Kingdom,GB,road,box,seed/plants,120991,40,9000,yes,Phytosanitary certificate; import permit; pest risk assessment,no,,Seed jars or seed packets; pest-free packaging; labeling of plant material
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; lithium battery shipping limit per package 2kg; UN38.3 testing on cell module; hazardous goods training for handlers,no,,"UN-certified packaging, correct labeling, moisture barrier, segregation from other goods"
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,26000,no,,no,,Tamper-evident seals; compliant with UN 50HA1 packaging; ESD precautions
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,250,yes,Pharmacovigilance and controlled substance permit; cold chain verification,no,,Temperature controlled 2-8C; thermal insulated pouch; chain of custody documents
United Kingdom,GB,Canada,CA,courier,box,live animal,10619,20,120,yes,Veterinary export certificate; animal health import permit,yes,Biosecurity risk; certain live species restricted,Secure crate; ventilation; humane handling; risk assessment required
United Arab Emirates,AE,Australia,AU,multimodal,crate,plant/seed,120991,500,18000,yes,Phytosanitary certificate; seed health inspection; import permit,no,,Pest-free packaging; sealed and labeled; moisture control
Germany,DE,Netherlands,NL,road,box,cosmetics,330499,25,1500,no,,no,,Tamper-evident seals; cosmetic compliance labeling; MSDS available
Japan,JP,South Korea,KR,rail,box,electronics (consumer),851712,30,18000,yes,IATA/DG not applicable for rail; import permit; end-use certificate,no,,ESD precautions; anti-static bags; proper stacking limits
Canada,CA,Mexico,MX,sea,pallet,fresh fruit/vegetables,80810,1000,28000,no,,no,,Cold chain maintained; refrigeration units checked; container humidity control
Italy,IT,Spain,ES,road,box,chemical (industrial solvent),382200,100,15000,yes,Hazmat classification; DG shipping papers; ventilation and leak containment,no,,UN certified packaging; secondary containment; spill kit included
France,FR,France,FR,air,box,toys,950300,25,400,no,,no,,Choking hazard labeling; child-safety packaging; age-appropriate warnings
South Africa,ZA,India,IN,courier,envelope,pharmaceutical (prescription),300490,2,120,yes,Pharmacy licenses; import permit; cold chain validation,no,,Cold chain priority; insulated pouch; documentation in transit
United States,US,China,CN,sea,pallet,electronic (consumer),851712,1000,25000,no,,no,,ESD compliant packaging; anti-tamper seals; secure palletization
Spain,ES,Italy,IT,rail,box,cosmetics,330499,50,12000,no,,no,,Safety data sheets; batch numbers; temperature control if required
Netherlands,NL,France,FR,road,crate,live animal,10619,200,15000,yes,Quarantine clearance; veterinary inspection; import permit,yes,Wildlife protection restrictions; species-specific bans,Secure crate with ventilation; proper handling; continuous supervision
Mexico,MX,United Kingdom,GB,air,box,chemical (industrial solvent),382200,23,600,yes,Hazmat training; DG declaration; spill containment,no,,UN certified packaging; leak-proof containers; secondary containment
Australia,AU,Singapore,SG,multimodal,case,pharmaceutical (prescription),300490,32,18000,yes,Good distribution practice; regulatory approvals; import/export permit,no,,Temperature controlled 2-8C; validated cold chain; tamper-evident seals
Saudi Arabia,SA,United States,US,road,box,used clothing,630900,30,9000,no,,no,,Original manufacturer packaging; no counterfeit labeling; bagged for dirt control
Singapore,SG,Italy,IT,rail,box,cosmetics,330499,40,9000,no,,no,,Batch numbers; safety data sheets; temperature stability if required
India,IN,Indonesia,ID,air,envelope,pharmaceutical (prescription),300490,2,250,yes,Pharmacy license; import permit; cold chain validation,no,,Cold chain priority; insulated pouch; documentation in transit
United States,US,United Kingdom,GB,sea,pallet,electronic (consumer),851712,1000,26000,no,,no,,ESD capable packaging; secure pallet stacking; traceability labels
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; lithium batteries restricted for air transport,no,,UN-certified packaging required; battery terminals protected from short-circuit
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,25000,no,,no,,Original manufacturer packaging; moisture protection; stacking limits
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,23,400,yes,Pharmacovigilance export/import permits; import license in destination,no,,Tamper-evident seals; temperature control as needed
United Kingdom,GB,Canada,CA,courier,envelope,cosmetics,330499,2,120,no,,no,,Tamper-evident seal; cosmetic product labeling per destination requirements
United States,US,Australia,AU,road,crate,chemical (industrial solvent),382200,5000,18000,yes,Hazmat classification; UN number; driver training; placarding,no,,UN-certified packaging; corrosion-resistant containment; spill kits
Germany,DE,France,FR,rail,crate,live animal,10619,500,15000,yes,Veterinary certificate; health check; import permit,yes,Biosecurity risk; welfare concerns,Temperature control; containment; secure crate; veterinary documentation
Japan,JP,South Korea,KR,multimodal,pallet,fresh fruit/vegetables,80810,1000,20000,no,,no,,Temperature controlled; insulated pallet covers; breathable packaging
India,IN,Spain,ES,sea,case,pharmaceutical (prescription),300490,5000,22000,yes,Phytosanitary? no; import license and GMP compliance,no,,Temperature control; sterile supply chain documentation
Canada,CA,United Kingdom,GB,air,box,electronics (consumer),851712,23,350,yes,IATA DG declaration; lithium battery restrictions per flight type,no,,UN-approved inner packaging; battery isolation
Australia,AU,New Zealand,NZ,sea,crate,live animal,10619,800,26000,yes, veterinary health certificate; quarantine clearance,no,,Secure transport; animal welfare compliant
China,CN,United States,US,air,box,toys,950300,32,500,no,,no,,Choking hazard labeling; age grading; tamper-evident packaging
France,FR,Italy,IT,road,pallet,cosmetics,330499,1000,12000,no,,no,,NDA labeling; packaging integrity; tamper evident seals
Netherlands,NL,Spain,ES,rail,box,chemical (industrial solvent),382200,800,18000,yes,Hazmat; compliance with IMDG/ADR; driver training,no,,UN-certified packaging; leakproof containers
South Africa,ZA,United States,US,courier,envelope,pharmaceutical (prescription),300490,2,100,yes,Pharmacy licensing; prescription verification; import permits,no,,Sealed outer packaging; patient confidentiality maintained
Mexico,MX,Canada,CA,air,box,fresh fruit/vegetables,80810,23,400,no,,no,,Temperature-controlled cabin; insulated packaging
Indonesia,ID,Singapore,SG,multimodal,pallet,live animal,10619,400,15000,yes,Quarantine clearance; veterinary health cert; import permit,yes,Biosecurity risk; welfare concerns,Containment crates; monitored transport; compliance with animal welfare standards
Saudi Arabia,SA,United Kingdom,GB,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,Hazmat; IMDG/ADR compliance; placarding,no,,UN-certified packaging; secondary containment; spill kits
Italy,IT,France,FR,rail,box,pharmaceutical (prescription),300490,30,1200,yes,"Pharmacovigilance export, GMP, import license",no,,Temperature-controlled packaging; chain-of-custody documentation
Spain,ES,Netherlands,NL,road,pallet,cosmetics,330499,1200,15000,no,,no,,Secure pallets; compliance with labeling and packaging regulations
United Arab Emirates,AE,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,600,yes,Alcohol import permit; age-verification; taxation,yes,Cultural/religious restrictions; embargo considerations,Tamper-evident seals; temperature control for storage
Japan,JP,Singapore,SG,courier,box,fresh fruit/vegetables,80810,23,180,no,,no,,Temperature-controlled packaging; breathable packing material
South Korea,KR,Netherlands,NL,sea,crate,lithium-ion battery,850760,1000,20000,yes,UN3090/3091 transport; IMDG compliance; corrosion protection,no,,Shipper declaration; strong outer packaging; battery isolation
United States,US,Mexico,MX,rail,case,electronics (consumer),851712,1000,18000,no,,no,,Secure packing; internal cushioning; CMRT labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; lithium battery shipping limits; additional approval for cell chemistry,no,,UN-certified packaging; battery terminals protected; temperature monitoring not required
China,CN,Germany,DE,air,box,electronic consumer electronics,851712,23,400,no,,no,,Tamper-evident seals; compliant with IATA Lithium Battery Guidance; proper labeling
Brazil,BR,Japan,JP,sea,pallet,pharmaceutical (prescription),300490,1000,5000,yes,Pharmaceuticals require GMP certification and import license,no,,Temperature controlled stowage; chain-of-custody documentation
United Kingdom,GB,Canada,CA,multimodal,crate,live animal,10619,500,12000,yes,Veterinary certificate; import permit; quarantine arrangements,yes,Biosecurity risk; species restricted,Specialized crating; ventilation; temperature control; handling by licensed shippers
India,IN,Australia,AU,air,box,fresh fruit/vegetables,80810,23,200,no,,no,,Coolchain 2-8C; padded trays; moisture control
China,CN,Singapore,SG,courier,envelope,cosmetics,330499,2,50,no,,no,,Tamper-evident seals; cosmetic labeling per destination rules
United States,US,Netherlands,NL,rail,box,toys,950300,30,6000,no,,no,,Secure cushioning; closure integrity; child-safe labeling
Germany,DE,France,FR,road,box,electronics (consumer),851712,23,15000,no,,no,,Rugged packaging; antistatic lining; shock protection
Japan,JP,South Korea,KR,sea,crate,chemical (industrial solvent),382200,1200,25000,yes,Hazmat handling; proper placarding; certificate of analysis,no,,UN-certified packaging; segregation from incompatible goods
United Arab Emirates,AE,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,180,yes,Excise and import licenses; alcohol permits; age-restriction controls,no,,Tamper-evident seals; temperature stable environment; proper labeling
Canada,CA,Mexico,MX,courier,envelope,pharmaceutical (prescription),300490,2,40,yes,Prescription validation; import/export permit,no,,Secure sealing; privacy-compliant labeling; temperature not critical
South Africa,ZA,Indonesia,ID,air,box,live animal,10619,40,300,yes,Wildlife import permit; veterinary clearance; quarantine,yes,Wildlife protection laws; restricted species,Specialized crate; climate control; veterinary inspection facility
Italy,IT,Spain,ES,rail,case,pharmaceutical (prescription),300490,100,9000,yes,Pharmaceutical GMP; import license; customs clearance,no,,Controlled room temperature packaging; chain of custody; temperature logger
France,FR,United Kingdom,GB,multimodal,crate,live animal,10619,600,18000,yes,Veterinary certificate; import license; quarantine measures,yes,Biosecurity risk; species protection laws,Quarantine-safe crate; veterinary inspection access; safe handling instructions
Netherlands,NL,Spain,ES,air,box,fresh fruit/vegetables,80810,23,250,no,,no,,Origin cold chain; insulated liners; moisture control
United States,US,Japan,JP,sea,pallet,cosmetics,330499,1000,20000,no,,no,,Tamper-evident seals; cosmetic-specific labeling; temperature-controlled holds
China,CN,United Kingdom,GB,rail,box,fresh fruit/vegetables,80810,23,12000,no,,no,,Perishable tracking; humidity control; cold chain compliance
